,SBS1,SBS2,SBS3,SBS4,SBS5,SBS6,SBS7a,SBS7b,SBS7c,SBS7d,SBS8,SBS9,SBS10a,SBS10b,SBS10c,SBS10d,SBS11,SBS12,SBS13,SBS14,SBS15,SBS16,SBS17a,SBS17b,SBS18,SBS19,SBS20,SBS21,SBS22a,SBS22b,SBS23,SBS24,SBS25,SBS26,SBS27,SBS28,SBS29,SBS30,SBS31,SBS32,SBS33,SBS34,SBS35,SBS36,SBS37,SBS38,SBS39,SBS40a,SBS40b,SBS40c,SBS41,SBS42,SBS43,SBS44,SBS45,SBS46,SBS47,SBS48,SBS49,SBS50,SBS51,SBS52,SBS53,SBS54,SBS55,SBS56,SBS57,SBS58,SBS59,SBS60,SBS84,SBS85,SBS86,SBS87,SBS88,SBS89,SBS90,SBS91,SBS92,SBS93,SBS94,SBS95,SBS96,SBS97,SBS98,SBS99
CRUK0001_SU_T1-R1,121.859132073898,20.8871195114155,0,27.9719769685335,0,322.713863495909,44.9915717417348,0,0,20.6624848525389,0,0,2.17931486363642,0,0,0,0,131.781914443071,0,0,0,62.3134607478284,41.4507063146374,0,0,116.016525535562,9.52444370402415,0,0,0,0,10.3985712906258,0,59.8511277982689,0,7.13480127722634,0,0,148.751735150358,96.3340409166775,19.0028056909325,0,0,0,0,0,322.896618839519,0,0,0,0,0,187.620689386557,0,0,227.498394887575,0,0,0,0,0,0,0,325.177962957942,1.02385327027942,0,1.43573146246653,0,2.83583820381789,0.786510474476814,0,0,0,283.02805161127,24.6862500070125,0,0,0,0,0,15.7857613052933,0,0,0,2.59869439632031,0
CRUK0001_SU_T1-R2,208.71630945019,0,0,0,0,275.644217893272,54.9866969843417,15.6122006500843,0,0,0,0,0,0,0,0,66.9730626621462,0,10.6514520808814,0,0,0,0,5.81313614482671,0,3.78080387587,0,0,0,0,0,43.367629229313,0,146.166027428907,0,0,0,0,246.0726773765,212.90072330779,0,0,14.5777130802695,0,29.9517584549296,0,198.685438407898,0,0,0,0,0,137.255407659806,0,0,230.385791449432,0,3.54390819648629,0,11.0222377564883,0,0,30.2302064465851,369.801009386537,0,0,0,0,0,0,0,0,44.5698358398794,396.398463636966,70.9519118889245,0,0,0,0,0,0,0,0,39.6504153181086,0,0
CRUK0001_SU_T1-R3,232.319149072175,121.784409813654,-235.415543580763,0,0,1491.79712699229,101.804685784181,316.49141566277,0,0,0,0,0,85.4693515280568,0,0,0,0,62.4409812217694,0,0,0,0,0.914087472451002,0,0,0,127.507582171048,0,0,0,203.965801398163,0,205.910904245882,0,0,0,0,555.063035029565,387.124946835513,85.0596465717605,0,0,0,108.635638041447,0,1190.00226553274,0,0,0,0,0,191.330421939449,0,0,685.187383437694,0,15.1355411732724,0,124.20633076195,0,0,40.7116086932135,1338.44358383329,0,0,0,29.3728240273607,20.5491960283527,0,0,0,4.9732857788968,818.129516351453,231.786750178982,38.1966658944552,0,0,0,0,347.250008015975,0,0,231.148016566106,-98.4865141811928,0
CRUK0002_SU_T1-R1,83.2590776742564,26.3910305657385,0,32.374101692865,0,505.861542946806,0,227.698263538832,0,0,0,0,0,9.46757061196772,0,0,0,0,0,0,169.592056288808,0,33.735836682403,12.2780479926129,0,28.695562592638,0,52.3613605797569,7.442184554873,0,0,134.959393970204,0,148.682218314137,0,5.15660569532508,0,0,210.971382954414,147.680550605059,0,0,0,0,121.353449675596,0,285.658472137578,0,0,0,0,0,77.9746170164621,0,0,314.352717476111,0,5.24624186204843,0,218.928440282954,99.6865552753363,0,0,680.571174682725,11.2747681991189,0,0,201.276202205723,0,0,0,0,105.197327304967,762.215750089832,70.9929652819086,0,0,0,0,0,110.283376503199,0,0,82.7959916516499,0,0
CRUK0002_SU_T1-R2,128.123756133478,0,0,0,0,616.460515366309,73.2000583132071,205.935685020289,0,0,0,0,0,0,0,0,0,0,27.6225711563021,0,96.5490303350193,0,0,21.1004556005543,0,9.43112384931293,0,91.3545676811328,0,0,0,164.350646069645,0,0,0,0,0,0,342.638246810315,199.766525594319,0,0,0,0,69.1908489047127,0,279.35548996851,0,0,0,0,0,66.7464678451688,0,0,478.158682907896,0,0,3.3369752344465,110.30867881674,144.351958378596,0,0,720.519993564968,0,0,0,251.178389768898,0,0,0,0,87.0015192020952,637.641373528534,108.336629465974,0,0,0,0,0,38.3736188201122,0,0,56.4710562960164,0,0
CRUK0002_SU_T1-R3,40.3941249043074,18.6271116889759,0,0,0,70.2761384980168,0,2.52225868729235,0,0,0,0,0,14.4331588135242,0,0,10.0683809895636,141.114826260255,15.9147942971023,0,0,14.2004609053046,25.1467861649081,0,0,22.480729411046,0,15.0591548880551,0,0,9.22183791420986,0,0,0,0,7.03116083747924,0,0,70.4944706430823,57.9538864809335,0,0,0,0,18.2657190311092,0,113.568380437074,0,0,0,0,0,58.6733314287455,0,0,11.8535410371205,0,0,0,0,21.0407660913908,0,0,92.2668563354863,4.34180903058444,0,0,75.8296572366482,0,31.6097152367986,0,0,30.0110642023588,62.9102588928345,0,0,0,0,0,0,0,0,0,0,4.73978234461878,0
CRUK0003_SU_T1-R1,717.451195374356,80.9143555946354,0,-238.528705808771,1310.84744455423,1629.85821687318,-4.59187428850083,409.610910600648,0,0,0,0,0,106.865735652089,0,0,0,20.4043277250121,26.2067274032238,0,0,4.56224455835422,0,19.1969857274418,0,0,0,181.118163809371,0,0,0,333.404294977363,0,0,0,0,0,0,729.296833900944,623.78664742829,15.0681072083643,0,0,0,593.142666560393,0,1270.91315473809,0,0,0,0,0,153.511566034713,0,0,832.896225657012,0,6.28191911672073,0,74.5333260695676,0,0,-5.01576305978297,1795.49865792711,0,0,0,0,-1.43800456597197,0,0,0,41.5625191574768,1194.40792596045,139.475256370814,0,0,0,0,0,399.125467354384,0,0,157.847211613871,0,0
CRUK0003_SU_T1-R2,147.32499665211,0,0,0,0,205.536437292046,39.7179577683104,65.7998917414225,0,0,0,0,0,47.0562071555455,0,0,0,203.290523948595,0,0,0,106.622781913726,23.1647985659897,1.42092285713164,0,5.13068498494114,15.1698864230015,0,0,0,0,16.6397727864341,0,0,0,4.55587526994643,0,0,79.137052091086,233.270456266956,23.3903413293801,0,0,0,11.2207868877052,0,239.164042012719,0,0,0,0,0,178.180535099838,0,0,174.654506009133,0,4.34044892602711,0,0,-1.37893887324424,0,0,270.82572944768,0,0,16.6409394255603,0,7.92260238723851,39.2209296554396,0,0,0,145.47516859752,0,0,0,0,13.5541501216992,0,0,0,153.892319880789,36.2937701144349,52.7456196375777,0
CRUK0003_SU_T1-R3,350.413418303462,111.670922827589,0,24.7332201714823,0,1685.74820964434,0,612.331294111524,0,0,0,0,0,46.843022234718,0,0,24.8215343431926,357.08305567816,23.9636447621588,0,0,6.42708639681183,0,22.9563908612939,0,9.88335036924668,0,0,0,0,0,298.218653440579,0,575.615886962867,0,11.9865929722929,0,0,463.600467444388,592.217363569173,84.3093410212305,0,0,0,0,0,1175.04642018121,0,0,0,0,0,689.577705263642,0,0,944.36452627503,0,0,15.7572618247235,0,111.035827891025,0,0,1562.7123983718,0,0,0,0,0,0,0,0,152.872405560152,1052.28091618388,115.523744693507,0,0,0,0,0,368.163042698244,0,220.438109932826,109.946902562061,128.866823145634,0
CRUK0003_SU_T1-R4,465.464764404362,137.409655293031,0,373.543229613241,0,2121.55426434643,0,471.907245904523,0,0,0,0,0,69.0330270268036,0,0,0,373.260264900022,57.8518223857165,0,20.9185409437401,2.59731922701158,0,46.0746958966133,0,0,0,53.1617847208306,0,0,0,208.427266039414,0,199.23892477653,0,0,0,0,847.905955316605,750.777607945701,55.7358875280789,11.9338702892107,0,0,535.99212551534,0,1520.79064891328,0,0,0,93.634161615777,0,291.726904227288,0,0,995.467958437976,0,0,0,97.9836242318113,0,0,23.8368153283111,2013.45835283985,0,0,0,123.52339485638,0,0,0,0,102.644839282933,1238.70903907748,232.298445845414,0,0,0,0,-147.161624660787,178.253917223489,0,40.2813342745509,221.156229367733,-28.722600525567,0
